Country,Year,LPI Rank,LPI Score,Customs Rank,Customs Score,Infrastructure Rank,Infrastructure Score,International shipments Rank,International shipments Score,Logistics competence Rank,Logistics competence Score,Tracking & tracing Rank,Tracking & tracing Score,Timeliness Rank,Timeliness Score
Afghanistan,2023,138,1.9,120,2.1,138,1.7,138,1.8,135,2,139,1.6,133,2.3
Albania,2023,97,2.5,90,2.4,68,2.7,75,2.8,119,2.3,117,2.3,124,2.5
Algeria,2023,97,2.5,101,2.3,125,2.1,57,3,126,2.2,98,2.5,116,2.6
Angola,2023,134,2.1,137,1.7,125,2.1,111,2.4,119,2.3,117,2.3,138,2.1
Antigua and Barbuda,2023,66,2.9,110,2.2,68,2.7,68,2.9,65,2.9,54,3.2,55,3.4
Argentina,2023,73,2.8,65,2.7,63,2.8,85,2.7,81,2.7,72,2.9,76,3.1
Armenia,2023,97,2.5,84,2.5,76,2.6,128,2.2,92,2.6,117,2.3,109,2.7
Australia,2023,19,3.7,14,3.7,9,4.1,47,3.1,14,3.9,11,4.1,35,3.6
Austria,2023,7,4,14,3.7,16,3.9,4,3.8,11,4,3,4.2,1,4.3
"Bahamas, The",2023,79,2.7,65,2.7,80,2.5,47,3.1,103,2.5,94,2.6,87,3
Bahrain,2023,34,3.5,31,3.3,30,3.6,47,3.1,46,3.3,41,3.4,10,4.1
Bangladesh,2023,88,2.6,101,2.3,108,2.3,91,2.6,81,2.7,105,2.4,87,3
Belarus,2023,79,2.7,74,2.6,68,2.7,91,2.6,92,2.6,94,2.6,76,3.1
Belgium,2023,7,4,7,3.9,9,4.1,4,3.8,3,4.2,16,4,4,4.2
Benin,2023,66,2.9,65,2.7,80,2.5,68,2.9,61,3,54,3.2,109,2.7
Bhutan,2023,97,2.5,65,2.7,118,2.2,121,2.3,92,2.6,117,2.3,116,2.6
Bolivia (Plurinational State of),2023,115,2.4,120,2.1,89,2.4,102,2.5,110,2.4,98,2.5,129,2.4
Bosnia and Herzegovina,2023,61,3,65,2.7,76,2.6,47,3.1,65,2.9,54,3.2,65,3.2
Botswana,2023,57,3.1,47,3,52,3.1,57,3,42,3.4,65,3,59,3.3
Brazil,2023,51,3.2,56,2.9,47,3.2,68,2.9,46,3.3,54,3.2,46,3.5
Bulgaria,2023,51,3.2,43,3.1,52,3.1,57,3,46,3.3,49,3.3,46,3.5
Burkina Faso,2023,123,2.3,129,2,108,2.3,111,2.4,110,2.4,129,2.2,129,2.4
Cambodia,2023,115,2.4,110,2.2,125,2.1,121,2.3,110,2.4,80,2.8,109,2.7
Cameroon,2023,134,2.1,120,2.1,125,2.1,128,2.2,133,2.1,136,1.8,138,2.1
