Year,Economy,Economy Label,TEU (Twenty foot Equivalent Unit),TEU (Twenty foot Equivalent Unit) Footnote,TEU (Twenty foot Equivalent Unit) Missing value
2010,0000,"World",545433698,,
2010,5100,"Africa",23416816,,
2010,5110,"Northern Africa",12024778,,
2010,5120,"Sub-Saharan Africa",11392038,,
2010,5121,"Eastern Africa",2297961,,
2010,5122,"Middle Africa",1478340,,
2010,5123,"Southern Africa",4233278,,
2010,5124,"Western Africa",3382459,,
2010,5200,"Americas",84179438,,
2010,5210,"Northern America",44936976,,
2010,5220,"Latin America and the Caribbean",39242462,,
2010,5221,"Caribbean",7673944,,
2010,5222,"Central America",12145350,,
2010,5223,"South America",19423168,,
2010,5300,"Asia",342372508,,
2010,5330,"Eastern Asia",211697579,,
2010,5350,"South-eastern Asia",74556005,,
2010,5320,"Southern Asia",19910416,,
2010,5340,"Western Asia",36208508,,
2010,5400,"Europe",86188340,,
2010,5410,"Eastern Europe",5758409,,
2010,5420,"Northern Europe",13928125,,
2010,5430,"Southern Europe",28225543,,
2010,5440,"Western Europe",38276263,,
2010,5500,"Oceania",9276596,,
2010,008,"Albania",70000,,
2010,012,"Algeria",1198828,,
2010,024,"Angola",611050,,
2010,028,"Antigua and Barbuda",24615,,
2010,032,"Argentina",2017388,,
2010,533,"Aruba",49558,,
2010,036,"Australia",6451689,,
2010,044,"Bahamas",1155000,,
2010,048,"Bahrain",367589,,
2010,050,"Bangladesh",1364139,,
2010,052,"Barbados",80424,,
2010,056,"Belgium",9988291,,
2010,084,"Belize",31917,,
2010,076,"Brazil",7223103,,
2010,100,"Bulgaria",142611,,
2010,132,"Cabo Verde",54873,,
2010,116,"Cambodia",222928,,
2010,120,"Cameroon",290000,,
2010,124,"Canada",4670790,,
2010,136,"Cayman Islands",45649,,
2010,152,"Chile",3157758,,
2010,156,"China",136043121,,
2010,344,"China, Hong Kong SAR",23699000,,
2010,158,"China, Taiwan Province of",12736948,,
2010,170,"Colombia",2446523,,
2010,178,"Congo",355000,,
2010,188,"Costa Rica",1013483,,
2010,384,"Cote d'Ivoire",717700,,
2010,191,"Croatia",160600,,
2010,192,"Cuba",228346,,
2010,531,"Curacao",,,"Not applicable"
2010,196,"Cyprus",349163,,
2010,180,"Dem. Rep. of the Congo",59133,,
2010,208,"Denmark",698012,,
2010,262,"Djibouti",406407,,
2010,214,"Dominican Republic",1382905,,
2010,218,"Ecuador",1209347,,
2010,818,"Egypt",6715321,,
2010,222,"El Salvador",145774,,
2010,226,"Equatorial Guinea",9500,,
2010,233,"Estonia",,,"Not publishable"
2010,246,"Finland",1219391,,
2010,250,"France",3915704,,
2010,254,"French Guiana",39372,,
2010,258,"French Polynesia",68889,,
