Year,Economy,Economy Label,Category,Category Label,Productive Capacities Index,Productive Capacities Index Footnote,Productive Capacities Index Missing value
2000,1,Individual economies,0,Overall index: Productive capacities index,,,Not applicable
2000,1,Individual economies,30,Human capital,,,Not applicable
2000,1,Individual economies,50,Natural capital,,,Not applicable
2000,1,Individual economies,20,Energy,,,Not applicable
2000,1,Individual economies,70,Transport,,,Not applicable
2000,1,Individual economies,60,Information and Communication Technology (ICT),,,Not applicable
2000,1,Individual economies,40,Institutions,,,Not applicable
2000,1,Individual economies,80,Private sector,,,Not applicable
2000,1,Individual economies,10,Structural Change,,,Not applicable
2000,4,Afghanistan,0,Overall index: Productive capacities index,15.4568,,
2000,4,Afghanistan,30,Human capital,10.8636,At least half of the indicators in the category have been imputed.,
2000,4,Afghanistan,50,Natural capital,53.1761,,
2000,4,Afghanistan,20,Energy,15.8719,At least half of the indicators in the category have been imputed.,
2000,4,Afghanistan,70,Transport,20.0641,,
2000,4,Afghanistan,60,Information and Communication Technology (ICT),4.338,At least half of the indicators in the category have been imputed.,
2000,4,Afghanistan,40,Institutions,11.2281,,
2000,4,Afghanistan,80,Private sector,17.9484,All indicators in the category have been imputed.,
2000,4,Afghanistan,10,Structural Change,20.2575,At least half of the indicators in the category have been imputed.,
2000,8,Albania,0,Overall index: Productive capacities index,33.7001,,
2000,8,Albania,30,Human capital,38.8462,,
2000,8,Albania,50,Natural capital,41.305,,
2000,8,Albania,20,Energy,42.816,,
2000,8,Albania,70,Transport,29.1,,
2000,8,Albania,60,Information and Communication Technology (ICT),11.3325,,
2000,8,Albania,40,Institutions,40.0362,,
2000,8,Albania,80,Private sector,35.6303,,
2000,8,Albania,10,Structural Change,51.4761,,
2000,12,Algeria,0,Overall index: Productive capacities index,32.5062,,
2000,12,Algeria,30,Human capital,33.9268,,
2000,12,Algeria,50,Natural capital,49.8927,,
2000,12,Algeria,20,Energy,59.3861,,
2000,12,Algeria,70,Transport,31.9396,,
2000,12,Algeria,60,Information and Communication Technology (ICT),8.5717,,
2000,12,Algeria,40,Institutions,31.1163,,
2000,12,Algeria,80,Private sector,31.1854,,
2000,12,Algeria,10,Structural Change,46.6796,,
2000,20,Andorra,0,Overall index: Productive capacities index,52.0659,At least half of the indicators in the category have been imputed.,
2000,20,Andorra,30,Human capital,47.0024,At least half of the indicators in the category have been imputed.,
2000,20,Andorra,50,Natural capital,13.4007,,
2000,20,Andorra,20,Energy,73.3773,At least half of the indicators in the category have been imputed.,
2000,20,Andorra,70,Transport,94.2722,All indicators in the category have been imputed.,
2000,20,Andorra,60,Information and Communication Technology (ICT),39.5092,,
2000,20,Andorra,40,Institutions,73.1358,All indicators in the category have been imputed.,
2000,20,Andorra,80,Private sector,65.6813,At least half of the indicators in the category have been imputed.,
2000,20,Andorra,10,Structural Change,65.3079,,
2000,24,Angola,0,Overall index: Productive capacities index,15.9381,,
2000,24,Angola,30,Human capital,1,,
2000,24,Angola,50,Natural capital,43.4055,,
2000,24,Angola,20,Energy,23.8561,,
2000,24,Angola,70,Transport,26.133,,
2000,24,Angola,60,Information and Communication Technology (ICT),6.2717,,
2000,24,Angola,40,Institutions,22.1985,,
2000,24,Angola,80,Private sector,32.1627,At least half of the indicators in the category have been imputed.,
2000,24,Angola,10,Structural Change,34.3626,At least half of the indicators in the category have been imputed.,
2000,32,Argentina,0,Overall index: Productive capacities index,45.8717,,
2000,32,Argentina,30,Human capital,49.0389,,
2000,32,Argentina,50,Natural capital,40.1367,,
2000,32,Argentina,20,Energy,59.6665,,
2000,32,Argentina,70,Transport,41.0108,,
2000,32,Argentina,60,Information and Communication Technology (ICT),25.0309,,
2000,32,Argentina,40,Institutions,56.4421,,
2000,32,Argentina,80,Private sector,50.5967,,
2000,32,Argentina,10,Structural Change,56.9443,,
2000,51,Armenia,0,Overall index: Productive capacities index,36.67,,
2000,51,Armenia,30,Human capital,39.3785,,
2000,51,Armenia,50,Natural capital,46.3544,,
2000,51,Armenia,20,Energy,45.4716,,
2000,51,Armenia,70,Transport,37.8767,,
2000,51,Armenia,60,Information and Communication Technology (ICT),17.7344,,
2000,51,Armenia,40,Institutions,43.7576,,
2000,51,Armenia,80,Private sector,31.8693,,
2000,51,Armenia,10,Structural Change,42.0516,,
2000,533,Aruba,0,Overall index: Productive capacities index,49.7939,At least half of the indicators in the category have been imputed.,
2000,533,Aruba,30,Human capital,45.7393,At least half of the indicators in the category have been imputed.,
2000,533,Aruba,50,Natural capital,16.5336,,
2000,533,Aruba,20,Energy,77.5179,At least half of the indicators in the category have been imputed.,
2000,533,Aruba,70,Transport,80.2501,All indicators in the category have been imputed.,
2000,533,Aruba,60,Information and Communication Technology (ICT),34.3426,,
2000,533,Aruba,40,Institutions,77.8072,All indicators in the category have been imputed.,
2000,533,Aruba,80,Private sector,60.2071,At least half of the indicators in the category have been imputed.,
2000,533,Aruba,10,Structural Change,49.9351,At least half of the indicators in the category have been imputed.,
2000,36,Australia,0,Overall index: Productive capacities index,65.6953,,
2000,36,Australia,30,Human capital,71.8022,,
2000,36,Australia,50,Natural capital,43.2994,,
2000,36,Australia,20,Energy,72.9979,,
2000,36,Australia,70,Transport,61.8633,,
2000,36,Australia,60,Information and Communication Technology (ICT),45.6044,,
2000,36,Australia,40,Institutions,92.4751,,
2000,36,Australia,80,Private sector,76.3614,,
2000,36,Australia,10,Structural Change,76.7377,,
2000,40,Austria,0,Overall index: Productive capacities index,59.9076,,
2000,40,Austria,30,Human capital,66.5145,,
2000,40,Austria,50,Natural capital,21.1434,,
2000,40,Austria,20,Energy,72.6016,,
2000,40,Austria,70,Transport,59.7935,,
2000,40,Austria,60,Information and Communication Technology (ICT),47.5768,,
2000,40,Austria,40,Institutions,90.1685,,
2000,40,Austria,80,Private sector,74.5573,At least half of the indicators in the category have been imputed.,
2000,40,Austria,10,Structural Change,84.962,,
2000,31,Azerbaijan,0,Overall index: Productive capacities index,35.7951,,
2000,31,Azerbaijan,30,Human capital,36.0763,,
2000,31,Azerbaijan,50,Natural capital,53.0637,,
2000,31,Azerbaijan,20,Energy,56.3622,,
2000,31,Azerbaijan,70,Transport,36.5958,,
