Year,Economy,Economy Label,Index,Index Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value
2005,0000,"World",1,"Value index of exports",63.456,,
2005,0000,"World",2,"Value index of imports",64.5549,,
2005,0000,"World",3,"Volume index of exports",71.4998,,
2005,0000,"World",4,"Volume index of imports",73.5784,,
2005,0000,"World",5,"Unit value index of exports",87.6927,,
2005,0000,"World",6,"Unit value index of imports",87.6605,,
2005,0000,"World",7,"Terms of trade index",100.0368,,
2005,0000,"World",8,"Purchasing power index of exports",72.3884,,
2005,5100,"Africa",1,"Value index of exports",72.6379,,
2005,5100,"Africa",2,"Value index of imports",44.9548,,
2005,5100,"Africa",3,"Volume index of exports",83.551,,
2005,5100,"Africa",4,"Volume index of imports",49.6191,,
2005,5100,"Africa",5,"Unit value index of exports",85.4818,,
2005,5100,"Africa",6,"Unit value index of imports",89.0769,,
2005,5100,"Africa",7,"Terms of trade index",95.964,,
2005,5100,"Africa",8,"Purchasing power index of exports",81.5451,,
2005,5110,"Northern Africa",1,"Value index of exports",88.6885,,
2005,5110,"Northern Africa",2,"Value index of imports",44.8017,,
2005,5110,"Northern Africa",3,"Volume index of exports",104.9819,,
2005,5110,"Northern Africa",4,"Volume index of imports",50.2425,,
2005,5110,"Northern Africa",5,"Unit value index of exports",84.5881,,
2005,5110,"Northern Africa",6,"Unit value index of imports",87.8846,,
2005,5110,"Northern Africa",7,"Terms of trade index",96.249,,
2005,5110,"Northern Africa",8,"Purchasing power index of exports",100.9147,,
2005,5120,"Sub-Saharan Africa",1,"Value index of exports",66.0377,,
2005,5120,"Sub-Saharan Africa",2,"Value index of imports",45.036,,
2005,5120,"Sub-Saharan Africa",3,"Volume index of exports",74.8078,,
2005,5120,"Sub-Saharan Africa",4,"Volume index of imports",49.4953,,
2005,5120,"Sub-Saharan Africa",5,"Unit value index of exports",86.336,,
2005,5120,"Sub-Saharan Africa",6,"Unit value index of imports",89.7515,,
2005,5120,"Sub-Saharan Africa",7,"Terms of trade index",96.1945,,
2005,5120,"Sub-Saharan Africa",8,"Purchasing power index of exports",73.5783,,
2005,5121,"Eastern Africa",1,"Value index of exports",44.2039,,
2005,5121,"Eastern Africa",2,"Value index of imports",34.8245,,
2005,5121,"Eastern Africa",3,"Volume index of exports",57.5722,,
2005,5121,"Eastern Africa",4,"Volume index of imports",39.9125,,
2005,5121,"Eastern Africa",5,"Unit value index of exports",76.1094,,
2005,5121,"Eastern Africa",6,"Unit value index of imports",84.3276,,
2005,5121,"Eastern Africa",7,"Terms of trade index",90.2545,,
2005,5121,"Eastern Africa",8,"Purchasing power index of exports",52.4193,,
2005,5122,"Middle Africa",1,"Value index of exports",66.64,,
2005,5122,"Middle Africa",2,"Value index of imports",32.1644,,
2005,5122,"Middle Africa",3,"Volume index of exports",71.5715,,
2005,5122,"Middle Africa",4,"Volume index of imports",41.5788,,
2005,5122,"Middle Africa",5,"Unit value index of exports",93.4975,,
2005,5122,"Middle Africa",6,"Unit value index of imports",79.9402,,
2005,5122,"Middle Africa",7,"Terms of trade index",116.9594,,
2005,5122,"Middle Africa",8,"Purchasing power index of exports",83.3623,,
2005,5123,"Southern Africa",1,"Value index of exports",64.3201,,
2005,5123,"Southern Africa",2,"Value index of imports",58.013,,
2005,5123,"Southern Africa",3,"Volume index of exports",76.8984,,
2005,5123,"Southern Africa",4,"Volume index of imports",56.94,,
2005,5123,"Southern Africa",5,"Unit value index of exports",82.2851,,
2005,5123,"Southern Africa",6,"Unit value index of imports",101.0558,,
2005,5123,"Southern Africa",7,"Terms of trade index",81.4254,,
2005,5123,"Southern Africa",8,"Purchasing power index of exports",63.6481,,
2005,5124,"Western Africa",1,"Value index of exports",76.5871,,
2005,5124,"Western Africa",2,"Value index of imports",45.7813,,
2005,5124,"Western Africa",3,"Volume index of exports",84.7881,,
2005,5124,"Western Africa",4,"Volume index of imports",51.7866,,
2005,5124,"Western Africa",5,"Unit value index of exports",90.2865,,
2005,5124,"Western Africa",6,"Unit value index of imports",85.2163,,
2005,5124,"Western Africa",7,"Terms of trade index",105.9498,,
2005,5124,"Western Africa",8,"Purchasing power index of exports",89.8738,,
2005,5200,"Americas",1,"Value index of exports",65.303,,
2005,5200,"Americas",2,"Value index of imports",68.6355,,
2005,5200,"Americas",3,"Volume index of exports",76.602,,
2005,5200,"Americas",4,"Volume index of imports",77.6944,,
2005,5200,"Americas",5,"Unit value index of exports",84.5783,,
2005,5200,"Americas",6,"Unit value index of imports",88.494,,
2005,5200,"Americas",7,"Terms of trade index",95.5752,,
2005,5200,"Americas",8,"Purchasing power index of exports",73.7937,,
2005,5210,"Northern America",1,"Value index of exports",65.9683,,
2005,5210,"Northern America",2,"Value index of imports",74.8704,,
2005,5210,"Northern America",3,"Volume index of exports",73.7015,,
2005,5210,"Northern America",4,"Volume index of imports",83.5494,,
2005,5210,"Northern America",5,"Unit value index of exports",89.091,,
2005,5210,"Northern America",6,"Unit value index of imports",89.5796,,
2005,5210,"Northern America",7,"Terms of trade index",99.4545,,
2005,5210,"Northern America",8,"Purchasing power index of exports",73.6421,,
2005,5220,"Latin America and the Caribbean",1,"Value index of exports",63.9156,,
2005,5220,"Latin America and the Caribbean",2,"Value index of imports",52.0631,,
2005,5220,"Latin America and the Caribbean",3,"Volume index of exports",82.9891,,
2005,5220,"Latin America and the Caribbean",4,"Volume index of imports",61.3758,,
2005,5220,"Latin America and the Caribbean",5,"Unit value index of exports",76.6694,,
2005,5220,"Latin America and the Caribbean",6,"Unit value index of imports",85.0157,,
2005,5220,"Latin America and the Caribbean",7,"Terms of trade index",90.1826,,
2005,5220,"Latin America and the Caribbean",8,"Purchasing power index of exports",75.1809,,
2005,5221,"Caribbean",1,"Value index of exports",94.9497,,
2005,5221,"Caribbean",2,"Value index of imports",74.7098,,
2005,5221,"Caribbean",3,"Volume index of exports",108.0946,,
2005,5221,"Caribbean",4,"Volume index of imports",93.001,,
2005,5221,"Caribbean",5,"Unit value index of exports",91.3223,,
2005,5221,"Caribbean",6,"Unit value index of imports",89.0767,,
2005,5221,"Caribbean",7,"Terms of trade index",102.5209,,
2005,5221,"Caribbean",8,"Purchasing power index of exports",106.5932,,
2005,5222,"Central America",1,"Value index of exports",56.6222,,
